"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Bitcoin Up or Down - April 30, 1:25AM-1:30AM ET","Buy","2.8321799999999997","3","Down","1777526956","0x4993aaa1a776ae048e21d356e7671f0d4c55c85b4d5889fd2ce6664654a03e1f"
"Bitcoin Up or Down - April 30, 12:45AM-12:50AM ET","Sell","2.96787","3","Up","1777524594","0x0da4dc072fb1ddb988cf9005497d7742d2e274ca53b12bffe9046b4e19415882"
"Bitcoin Up or Down - April 30, 12:45AM-12:50AM ET","Buy","2.74769","3","Up","1777524514","0x874157f5b57c05a22ef0a3f6b7c6e0829c171a63d34b35e367c034f5b90eeb9e"
"Bitcoin Up or Down - April 30, 12:05AM-12:10AM ET","Sell","2.96787","3","Down","1777522194","0x48a04d82f77ec80d91fd5a8094f21c7f02b0d9c8c2828b3ecf9de88dbbbdba2e"
"Bitcoin Up or Down - April 30, 12:05AM-12:10AM ET","Buy","2.8321799999999997","3","Down","1777522112","0x301dd52fa3ed84a021b5f05005cb64d98f946b15100085cd6a7d4e442cd9cc1d"
"Bitcoin Up or Down - April 29, 11:50PM-11:55PM ET","Sell","2.96787","3","Up","1777521294","0xb6a1345e62455a139a61900695f090096da416db83c90c533439acc2b4f06ced"
"Bitcoin Up or Down - April 29, 11:50PM-11:55PM ET","Buy","2.80406","3","Up","1777521214","0x84acefd6b67c68347ad3f128a7dd95538379dd2f31d809e4a67f8241bf690e5f"
"Bitcoin Up or Down - April 29, 11:35PM-11:40PM ET","Sell","2.96787","3","Up","1777520394","0xb74910061e96b5f6e658c7c30454c29bb2ac2e8baed00f17c3ca4df75fc0e18d"
"Bitcoin Up or Down - April 29, 11:35PM-11:40PM ET","Buy","2.8602600000000002","3","Up","1777520324","0xe36d99ddd83cef847f82f47455c71c3da550299fe4c80a03fa5e83ec80ef000e"
"Bitcoin Up or Down - April 29, 11:25PM-11:30PM ET","Sell","2.96787","3","Up","1777519794","0xca4ff6b046bab26bbb06b6b08084cdfa0a59ece3f02f99d81802a671bf90fc2e"
"Bitcoin Up or Down - April 29, 11:25PM-11:30PM ET","Buy","2.6628000000000003","3","Up","1777519720","0xce664b23deab74837247f3896f56f31a91c1f68b9d7289bf0e818c658ba41db8"
"Bitcoin Up or Down - April 29, 11:00PM-11:05PM ET","Sell","2.9357699999999998","3","Up","1777518294","0xf12fb08e54dc3626c2cb15c526c419a8fbb27abca0c5103f8031f5937a61a8cd"
"Bitcoin Up or Down - April 29, 11:00PM-11:05PM ET","Buy","2.71944","3","Up","1777518212","0x078dcff21b36661a633f33ab0b6c2016510ad9e92b737b6a5d85a8dde8ccaa61"
"Bitcoin Up or Down - April 29, 10:25PM-10:30PM ET","Sell","2.96787","3","Down","1777516194","0x49d0e6c5b60c17a5c60179a2111748f5b51a6860004815e8b3973ab249a03c95"
"Bitcoin Up or Down - April 29, 10:25PM-10:30PM ET","Buy","2.8602600000000002","3","Down","1777516114","0x6afe950bd34329d8b5f52fd4be9a4659657e039313de253863754c59de468570"
"Bitcoin Up or Down - April 29, 10:00PM-10:05PM ET","Sell","2.96787","3","Up","1777514694","0x55a2f9443813597980188002102b1c06a05752713ba6ad5129c0890b87a30287"
"Bitcoin Up or Down - April 29, 10:00PM-10:05PM ET","Buy","2.8602600000000002","3","Up","1777514632","0x672353e19e92305e171beb5f62df3cf6af4553e129b4647021e2a83a317d6971"
"Bitcoin Up or Down - April 29, 9:40PM-9:45PM ET","Sell","2.96787","3","Up","1777513494","0xe1283ba5b39f2e567f64f4f01b8d81d5ed0c9fe9b4972867281ad6aafcd996c5"
"Bitcoin Up or Down - April 29, 9:40PM-9:45PM ET","Buy","2.77589","3","Up","1777513414","0x25cedbcf9cb6af643023f48ac375964a2eb201c624e65057b5ff49547c6c550f"
"Bitcoin Up or Down - April 29, 9:25PM-9:30PM ET","Sell","2.96787","3","Up","1777512594","0x9793236e1673fa97256d2c757821974dc57e1d8bdf21c781d56e4c7352b13c9e"
"Bitcoin Up or Down - April 29, 9:25PM-9:30PM ET","Buy","2.8602600000000002","3","Up","1777512512","0x8c0819bbffab5c37cc8b12cbcb965740972ebfd151a6576c2360ae387088254f"
"Bitcoin Up or Down - April 29, 8:40PM-8:45PM ET","Sell","2.9807200000000003","3","Down","1777509894","0x6d75976a3828864c3bc50215c5804caeffd9d310983841c3482f63ee23e613d7"
"Bitcoin Up or Down - April 29, 8:40PM-8:45PM ET","Buy","2.8321799999999997","3","Down","1777509812","0xf2aa49cbf24bd3a4b5db92f32c3d2b9b17da5814370629471f29d83e505aac64"
"Bitcoin Up or Down - April 29, 8:00PM-8:05PM ET","Redeem","3","3","","1777507588","0xb699a782189806859f3c218fd0379559d8332d26e29482a1e07e809d0f289a4b"
"Bitcoin Up or Down - April 29, 8:00PM-8:05PM ET","Buy","2.8602600000000002","3","Up","1777507412","0x41d085b403037a03ba78591b256a52304578702a1a1a5acf08d9681e82d2a154"
"Bitcoin Up or Down - April 29, 7:50PM-7:55PM ET","Sell","2.8717099999999998","3","Up","1777506894","0x658eaebc40f986017c1d790449d623d42f906fd9c5e64cc13d327ff5cffb4f1a"
"Bitcoin Up or Down - April 29, 7:50PM-7:55PM ET","Buy","2.8602600000000002","3","Up","1777506836","0xe8843453f409084094b9c666f72005eb0eae75cb55c337b3be0cf9f2c794aa87"
"Bitcoin Up or Down - April 29, 7:30PM-7:35PM ET","Sell","2.96787","3","Up","1777505694","0x259ecdf4448bb04c16c8e181d25c889c41d0f69b965d294407ce9de630faae8d"
"Bitcoin Up or Down - April 29, 7:30PM-7:35PM ET","Buy","2.8602600000000002","3","Up","1777505612","0x81c3f725aa7c30af7821075195aa8077b66c74a84d07b12f7fb23d100fc5f15e"
"Bitcoin Up or Down - April 29, 7:20PM-7:25PM ET","Sell","2.99679","3","Down","1777505094","0x8a35b4f6f57a6cdd2141b93d220aec91714e748f5d1d955fd452fedada359859"
"Bitcoin Up or Down - April 29, 7:20PM-7:25PM ET","Buy","2.74769","3","Down","1777505012","0x54cf0bd019fe4a615bd11b7a7a1fbdf60cd3f3e6feeaae02fc757cb70d1cce4d"
"Bitcoin Up or Down - April 29, 7:15PM-7:20PM ET","Sell","2.96787","3","Down","1777504794","0xfa0addff7750aa135139806f4d20a20f044b70238877d2b3588c8295da05e02b"
