Time_Local,Open,High,Low,Close,Delta_%,Action,Entry,Exit,PnL_USD
04:45,67136.0,67141.8,67129.2,67135.8,0.0,NONE,-,-,-
04:50,67135.8,67162.9,67135.8,67162.9,0.04,NONE,-,-,-
04:55,67162.9,67174.9,67162.9,67170.2,0.011,NONE,-,-,-
05:00,67170.2,67187.9,67170.2,67175.9,0.009,NONE,-,-,-
05:05,67175.9,67175.9,67154.6,67163.4,0.019,NONE,-,-,-
05:10,67163.4,67188.1,67156.8,67188.1,0.037,NONE,-,-,-
05:15,67188.1,67188.1,67155.6,67155.6,0.048,NONE,-,-,-
05:20,67155.6,67160.6,67131.4,67160.6,0.007,NONE,-,-,-
05:25,67160.6,67160.6,67154.6,67154.6,0.009,NONE,-,-,-
05:30,67154.6,67154.6,67105.5,67105.5,0.073,NONE,-,-,-
05:35,67105.5,67120.2,67089.3,67116.1,0.016,NONE,-,-,-
05:40,67116.1,67139.1,67116.1,67139.1,0.034,NONE,-,-,-
05:45,67139.1,67140.7,67135.0,67135.0,0.006,NONE,-,-,-
05:50,67135.0,67135.0,67122.4,67132.9,0.003,NONE,-,-,-
05:55,67132.9,67146.0,67124.6,67146.0,0.019,NONE,-,-,-
06:00,67146.0,67146.0,67112.9,67133.8,0.018,NONE,-,-,-
06:05,67133.8,67133.8,67108.0,67108.0,0.038,NONE,-,-,-
06:10,67108.0,67108.0,67073.6,67087.2,0.031,NONE,-,-,-
06:15,67087.2,67117.2,67083.5,67117.2,0.045,NONE,-,-,-
06:20,67117.2,67134.6,67117.2,67126.9,0.014,NONE,-,-,-
06:25,67126.9,67188.5,67126.9,67188.5,0.092,NONE,-,-,-
06:30,67188.5,67188.5,67164.8,67164.8,0.035,NONE,-,-,-
06:35,67164.8,67164.8,67150.0,67154.6,0.015,NONE,-,-,-
06:40,67154.6,67154.6,67130.3,67130.3,0.036,NONE,-,-,-
06:45,67130.3,67130.3,67086.7,67086.7,0.065,NONE,-,-,-
06:50,67086.7,67119.8,67086.7,67101.6,0.022,NONE,-,-,-
06:55,67101.6,67140.6,67093.2,67101.6,0.0,NONE,-,-,-
07:00,67101.6,67125.2,67095.0,67125.2,0.035,NONE,-,-,-
07:05,67125.2,67135.0,67114.9,67128.7,0.005,NONE,-,-,-
07:10,67128.7,67155.0,67112.6,67112.6,0.024,NONE,-,-,-
07:15,67112.6,67134.0,67108.0,67126.0,0.02,NONE,-,-,-
07:20,67126.0,67126.0,67054.7,67092.0,0.051,NONE,-,-,-
07:25,67092.0,67100.6,67091.6,67095.0,0.004,NONE,-,-,-
07:30,67095.0,67109.1,67095.0,67106.8,0.018,NONE,-,-,-
07:35,67106.8,67106.8,67055.0,67076.3,0.045,NONE,-,-,-
07:40,67076.3,67085.5,67076.3,67085.5,0.014,NONE,-,-,-
07:45,67085.5,67098.9,67076.9,67076.9,0.013,NONE,-,-,-
07:50,67076.9,67076.9,66948.2,66986.0,0.136,SHORT,66986.0,66931.6,0.0243
07:55,66986.0,66986.0,66888.0,66931.6,0.081,NONE,-,-,-
08:00,66931.6,66940.0,66895.9,66937.0,0.008,NONE,-,-,-
08:05,66937.0,66937.0,66690.5,66704.8,0.347,SHORT,66704.8,66660.3,0.02
08:10,66704.8,66734.5,66626.7,66660.3,0.067,NONE,-,-,-
08:15,66660.3,66686.7,66611.7,66679.1,0.028,NONE,-,-,-
08:20,66679.1,66766.8,66679.1,66746.0,0.1,LONG,66746.0,66763.9,0.008
08:25,66746.0,66777.8,66746.0,66763.9,0.027,NONE,-,-,-
08:30,66763.9,66842.7,66763.9,66810.4,0.07,NONE,-,-,-
08:35,66810.4,66850.0,66788.3,66805.0,0.008,NONE,-,-,-
08:40,66805.0,66835.7,66805.0,66826.6,0.032,NONE,-,-,-
08:45,66826.6,66843.6,66806.0,66831.9,0.008,NONE,-,-,-
08:50,66831.9,66858.0,66829.9,66829.9,0.003,NONE,-,-,-
08:55,66829.9,66864.4,66800.0,66802.2,0.041,NONE,-,-,-
09:00,66802.2,66891.4,66802.2,66865.3,0.094,NONE,-,-,-
09:05,66865.3,66899.0,66865.3,66877.5,0.018,NONE,-,-,-
09:10,66877.5,66914.5,66860.2,66905.1,0.041,NONE,-,-,-
09:15,66905.1,66912.6,66805.6,66843.8,0.092,NONE,-,-,-
09:20,66843.8,66843.8,66823.5,66823.5,0.031,NONE,-,-,-
09:25,66823.5,66823.5,66800.0,66817.0,0.01,NONE,-,-,-
09:30,66817.0,66817.0,66736.8,66764.5,0.078,NONE,-,-,-
09:35,66764.5,66767.6,66715.4,66737.4,0.041,NONE,-,-,-
09:40,66737.4,66780.4,66737.4,66767.0,0.044,NONE,-,-,-
09:45,66767.0,66805.5,66750.0,66750.0,0.025,NONE,-,-,-
09:50,66750.0,66800.0,66740.4,66800.0,0.075,NONE,-,-,-
09:55,66800.0,66829.0,66800.0,66820.6,0.031,NONE,-,-,-
10:00,66820.6,66876.6,66819.4,66854.8,0.051,NONE,-,-,-
10:05,66854.8,66882.3,66845.4,66876.5,0.032,NONE,-,-,-
10:10,66876.5,66884.0,66855.9,66862.2,0.021,NONE,-,-,-
10:15,66862.2,66902.6,66862.2,66898.8,0.055,NONE,-,-,-
10:20,66898.8,66907.7,66889.0,66889.0,0.015,NONE,-,-,-
10:25,66889.0,66895.9,66871.7,66875.1,0.021,NONE,-,-,-
10:30,66875.1,66882.4,66868.0,66874.3,0.001,NONE,-,-,-
10:35,66874.3,66891.6,66871.3,66891.6,0.026,NONE,-,-,-
10:40,66891.6,66891.6,66840.7,66860.2,0.047,NONE,-,-,-
10:45,66860.2,66896.1,66860.2,66896.1,0.054,NONE,-,-,-
10:50,66896.1,66915.6,66896.1,66899.4,0.005,NONE,-,-,-
10:55,66899.4,66940.0,66899.4,66933.2,0.051,NONE,-,-,-
11:00,66933.2,66975.6,66933.2,66971.1,0.057,NONE,-,-,-
11:05,66971.1,66993.7,66902.2,66926.5,0.067,NONE,-,-,-
11:10,66926.5,66938.6,66922.1,66930.0,0.005,NONE,-,-,-
11:15,66930.0,66956.5,66930.0,66956.5,0.04,NONE,-,-,-
11:20,66956.5,67013.3,66947.6,67013.3,0.085,NONE,-,-,-
11:25,67013.3,67037.2,67002.5,67015.6,0.003,NONE,-,-,-
11:30,67015.6,67017.3,66985.2,66996.9,0.028,NONE,-,-,-
11:35,66996.9,67001.2,66969.8,66983.3,0.02,NONE,-,-,-
11:40,66983.4,67026.8,66983.3,67026.8,0.065,NONE,-,-,-
11:45,67026.8,67048.6,67009.7,67046.0,0.029,NONE,-,-,-
11:50,67046.0,67046.0,67034.0,67034.1,0.018,NONE,-,-,-
11:55,67034.1,67039.1,67025.9,67035.2,0.002,NONE,-,-,-
12:00,67035.2,67035.2,67001.2,67032.9,0.003,NONE,-,-,-
12:05,67032.9,67035.4,67000.8,67000.8,0.048,NONE,-,-,-
12:10,67000.8,67013.6,66975.7,66975.7,0.038,NONE,-,-,-
12:15,66975.7,66986.0,66968.4,66969.0,0.01,NONE,-,-,-
12:20,66969.0,66983.3,66969.0,66978.0,0.013,NONE,-,-,-
12:25,66978.0,66992.9,66978.0,66992.9,0.022,NONE,-,-,-
12:30,66992.9,67008.0,66992.9,67008.0,0.023,NONE,-,-,-
12:35,67008.0,67150.0,67008.0,67117.7,0.164,LONG,67117.7,67086.0,-0.0142
12:40,67117.7,67124.3,67066.1,67086.0,0.047,NONE,-,-,-
12:45,67086.0,67086.0,67035.4,67043.0,0.064,NONE,-,-,-
12:50,67043.0,67054.5,67009.6,67046.8,0.006,NONE,-,-,-
12:55,67046.8,67059.9,67042.3,67046.0,0.001,NONE,-,-,-
13:00,67046.0,67079.4,67034.3,67055.4,0.014,NONE,-,-,-
13:05,67055.4,67072.3,67046.1,67046.1,0.014,NONE,-,-,-
13:10,67046.1,67087.2,67045.9,67045.9,0.0,NONE,-,-,-
13:15,67045.9,67081.6,67045.9,67064.6,0.028,NONE,-,-,-
13:20,67064.6,67072.8,67050.4,67050.4,0.021,NONE,-,-,-
13:25,67050.4,67050.4,66991.8,67010.2,0.06,NONE,-,-,-
13:30,67010.2,67016.7,66993.2,67016.6,0.01,NONE,-,-,-
13:35,67016.6,67016.6,66973.7,66992.4,0.036,NONE,-,-,-
13:40,66992.4,66992.4,66986.6,66992.0,0.001,NONE,-,-,-
13:45,66992.0,66992.0,66975.7,66984.6,0.011,NONE,-,-,-
13:50,66984.6,66998.4,66984.6,66998.0,0.02,NONE,-,-,-
13:55,66998.0,66999.0,66984.8,66999.0,0.001,NONE,-,-,-
14:00,66999.0,66999.0,66918.0,66922.6,0.114,SHORT,66922.6,66944.6,-0.0099
14:05,66922.6,66960.0,66922.6,66944.6,0.033,NONE,-,-,-
14:10,66944.6,66945.1,66900.9,66906.0,0.058,NONE,-,-,-
14:15,66906.0,66937.9,66905.9,66927.9,0.033,NONE,-,-,-
14:20,66927.9,66932.4,66914.5,66914.5,0.02,NONE,-,-,-
14:25,66914.5,66915.0,66885.9,66885.9,0.043,NONE,-,-,-
14:30,66885.9,66890.0,66728.2,66764.5,0.181,SHORT,66764.5,66738.5,0.0117
14:35,66764.5,66800.0,66692.2,66738.5,0.039,NONE,-,-,-
14:40,66738.5,66775.8,66695.6,66745.0,0.01,NONE,-,-,-
14:45,66745.0,66745.0,66680.6,66699.4,0.068,NONE,-,-,-
14:50,66699.3,66794.5,66699.3,66779.3,0.12,LONG,66779.3,66783.6,0.0019
14:55,66779.3,66803.8,66776.0,66783.6,0.006,NONE,-,-,-
15:00,66783.6,66854.8,66765.6,66852.3,0.103,LONG,66852.3,66814.8,-0.0168
15:05,66852.3,66852.3,66811.2,66814.8,0.056,NONE,-,-,-
15:10,66814.8,66839.5,66760.4,66760.4,0.081,NONE,-,-,-
15:15,66760.4,66795.4,66742.0,66795.4,0.052,NONE,-,-,-
15:20,66795.3,66854.8,66794.2,66832.2,0.055,NONE,-,-,-
15:25,66832.2,66832.2,66703.7,66703.7,0.192,SHORT,66703.7,66770.4,-0.03
15:30,66703.7,66841.1,66693.9,66812.6,0.163,LONG,66812.5,66842.1,0.0133
15:35,66812.5,66842.2,66787.1,66842.1,0.044,NONE,-,-,-
15:40,66842.2,66853.5,66816.0,66831.0,0.017,NONE,-,-,-
15:45,66831.0,66872.0,66831.0,66856.9,0.039,NONE,-,-,-
15:50,66856.9,66918.0,66856.9,66871.1,0.021,NONE,-,-,-
15:55,66871.1,66907.8,66863.2,66890.7,0.029,NONE,-,-,-
16:00,66890.7,66963.8,66850.0,66954.7,0.096,NONE,-,-,-
16:05,66954.7,66958.3,66911.5,66924.9,0.045,NONE,-,-,-
16:10,66924.9,66932.0,66866.9,66872.1,0.079,NONE,-,-,-
16:15,66872.1,66874.0,66820.5,66863.3,0.013,NONE,-,-,-
16:20,66863.3,66881.9,66847.2,66880.8,0.026,NONE,-,-,-
16:25,66880.8,66915.3,66880.8,66908.0,0.041,NONE,-,-,-
16:30,66908.0,66917.2,66893.0,66894.5,0.02,NONE,-,-,-
16:35,66894.5,66943.6,66886.9,66943.6,0.073,NONE,-,-,-
16:40,66943.6,66964.0,66923.3,66946.7,0.005,NONE,-,-,-
16:45,66947.0,66947.0,66914.5,66936.3,0.016,NONE,-,-,-
16:50,66936.3,66945.1,66927.2,66927.2,0.014,NONE,-,-,-
16:55,66927.2,66927.9,66909.7,66918.0,0.014,NONE,-,-,-
17:00,66918.0,66934.8,66886.8,66886.8,0.047,NONE,-,-,-
17:05,66886.8,66927.9,66829.0,66927.9,0.061,NONE,-,-,-
17:10,66927.9,66970.0,66927.9,66929.0,0.002,NONE,-,-,-
17:15,66929.0,67008.6,66929.0,66973.8,0.067,NONE,-,-,-
17:20,66973.8,66992.6,66962.3,66984.8,0.016,NONE,-,-,-
17:25,66984.7,67530.0,66980.2,67500.0,0.769,LONG,67500.0,67432.5,-0.03
17:30,67500.0,67856.2,67396.0,67480.6,0.029,NONE,-,-,-
17:35,67480.6,67545.1,67396.3,67401.0,0.118,SHORT,67401.0,67437.2,-0.0161
17:40,67401.0,67450.0,67316.5,67437.2,0.054,NONE,-,-,-
17:45,67437.2,67456.4,67323.5,67373.6,0.094,NONE,-,-,-
17:50,67373.6,67444.0,67357.6,67357.6,0.024,NONE,-,-,-
17:55,67357.6,67363.0,67272.7,67306.6,0.076,NONE,-,-,-
18:00,67306.6,67377.9,67306.6,67358.6,0.077,NONE,-,-,-
18:05,67358.6,67396.6,67270.9,67333.4,0.037,NONE,-,-,-
18:10,67333.4,67372.0,67291.4,67295.2,0.057,NONE,-,-,-
18:15,67295.2,67362.3,67295.1,67348.5,0.079,NONE,-,-,-
18:20,67348.5,67379.0,67348.5,67370.5,0.033,NONE,-,-,-
18:25,67370.5,67383.2,67325.6,67325.6,0.067,NONE,-,-,-
18:30,67325.6,67410.0,67316.0,67366.2,0.06,NONE,-,-,-
18:35,67366.2,67366.2,67313.9,67313.9,0.078,NONE,-,-,-
18:40,67313.9,67331.3,67267.2,67323.5,0.014,NONE,-,-,-
